Title: The refractive index of amorphous and crystalline water ice in the UV-vis 
Authors: Kofman V., He J., ten Kate I.L., Linnartz H. 
Table: Specific refraction, R(lambda), and refractive index, n(lambda) over 
    the studied temperature and wavelength range
================================================================================
Byte-by-byte Description of file: apjab0d89t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  5 F5.1   nm      lambda   wavelength, nm
   7- 12 F6.4   ---     Rl       specific refraction, R(lambda)
  14- 19 F6.4   ---   e_Rl       Uncertainty in Rl
  21- 26 F6.4   ---     nl-10K   refractive index, n(lambda), at 10 K
  28- 33 F6.4   ---     nl-30K   refractive index, n(lambda), at 30 K
  35- 40 F6.4   ---     nl-50K   refractive index, n(lambda), at 50 K
  42- 47 F6.4   ---     nl-70K   refractive index, n(lambda), at 70 K
  49- 54 F6.4   ---     nl-90K   refractive index, n(lambda), at 90 K
  56- 61 F6.4   ---     nl-110K  refractive index, n(lambda), at 110 K
  63- 68 F6.4   ---     nl-130K  refractive index, n(lambda), at 130 K
  70- 75 F6.4   ---     nl-150K  refractive index, n(lambda), at 150 K
--------------------------------------------------------------------------------
276.6 0.2277 0.0023 1.2086 1.2281 1.2479 1.2680 1.2883 1.3088 1.3296 1.3419 
277.1 0.2276 0.0023 1.2085 1.2280 1.2478 1.2678 1.2881 1.3086 1.3294 1.3417 
277.7 0.2275 0.0023 1.2084 1.2279 1.2477 1.2677 1.2879 1.3084 1.3292 1.3415 
278.2 0.2274 0.0023 1.2082 1.2278 1.2475 1.2675 1.2878 1.3083 1.3291 1.3413 
278.8 0.2273 0.0023 1.2081 1.2276 1.2474 1.2674 1.2876 1.3081 1.3289 1.3411 
279.4 0.2271 0.0022 1.2080 1.2275 1.2473 1.2672 1.2875 1.3079 1.3287 1.3409 
279.9 0.2270 0.0022 1.2079 1.2274 1.2471 1.2671 1.2873 1.3078 1.3285 1.3407 
280.5 0.2269 0.0022 1.2078 1.2273 1.2470 1.2669 1.2871 1.3076 1.3283 1.3405 
281.1 0.2268 0.0022 1.2077 1.2272 1.2469 1.2668 1.2870 1.3074 1.3281 1.3403 
281.6 0.2267 0.0022 1.2076 1.2270 1.2467 1.2667 1.2868 1.3073 1.3280 1.3401 
282.2 0.2266 0.0022 1.2075 1.2269 1.2466 1.2665 1.2867 1.3071 1.3278 1.3400 
282.7 0.2265 0.0022 1.2074 1.2268 1.2465 1.2664 1.2865 1.3069 1.3276 1.3398 
283.3 0.2264 0.0021 1.2073 1.2267 1.2463 1.2662 1.2864 1.3068 1.3274 1.3396 
283.9 0.2263 0.0021 1.2072 1.2266 1.2462 1.2661 1.2862 1.3066 1.3273 1.3394 
284.4 0.2261 0.0021 1.2071 1.2265 1.2461 1.2660 1.2861 1.3065 1.3271 1.3392 
285.0 0.2260 0.0021 1.2069 1.2263 1.2460 1.2658 1.2859 1.3063 1.3269 1.3391 
285.5 0.2259 0.0021 1.2068 1.2262 1.2458 1.2657 1.2858 1.3061 1.3268 1.3389 
286.1 0.2258 0.0021 1.2067 1.2261 1.2457 1.2656 1.2856 1.3060 1.3266 1.3387 
286.7 0.2257 0.0021 1.2066 1.2260 1.2456 1.2654 1.2855 1.3058 1.3264 1.3385 
287.2 0.2256 0.0021 1.2065 1.2259 1.2455 1.2653 1.2854 1.3057 1.3263 1.3384 
287.8 0.2255 0.0020 1.2064 1.2258 1.2454 1.2652 1.2852 1.3055 1.3261 1.3382 
288.4 0.2254 0.0020 1.2063 1.2257 1.2452 1.2650 1.2851 1.3054 1.3259 1.3380 
288.9 0.2253 0.0020 1.2062 1.2256 1.2451 1.2649 1.2849 1.3052 1.3258 1.3379 
289.5 0.2252 0.0020 1.2061 1.2255 1.2450 1.2648 1.2848 1.3051 1.3256 1.3377 
290.0 0.2251 0.0020 1.2061 1.2254 1.2449 1.2647 1.2847 1.3049 1.3254 1.3375 
290.6 0.2250 0.0020 1.2060 1.2253 1.2448 1.2645 1.2845 1.3048 1.3253 1.3374 
291.2 0.2249 0.0020 1.2059 1.2252 1.2447 1.2644 1.2844 1.3046 1.3251 1.3372 
291.7 0.2248 0.0020 1.2058 1.2250 1.2445 1.2643 1.2843 1.3045 1.3250 1.3370 
292.3 0.2247 0.0019 1.2057 1.2249 1.2444 1.2642 1.2841 1.3043 1.3248 1.3369 
292.8 0.2246 0.0019 1.2056 1.2248 1.2443 1.2640 1.2840 1.3042 1.3247 1.3367 
293.4 0.2245 0.0019 1.2055 1.2247 1.2442 1.2639 1.2839 1.3041 1.3245 1.3365 
294.0 0.2244 0.0019 1.2054 1.2246 1.2441 1.2638 1.2837 1.3039 1.3244 1.3364 
294.5 0.2243 0.0019 1.2053 1.2245 1.2440 1.2637 1.2836 1.3038 1.3242 1.3362 
295.1 0.2242 0.0019 1.2052 1.2244 1.2439 1.2636 1.2835 1.3036 1.3241 1.3361 
295.7 0.2241 0.0019 1.2051 1.2243 1.2438 1.2634 1.2833 1.3035 1.3239 1.3359 
296.2 0.2241 0.0019 1.2050 1.2242 1.2437 1.2633 1.2832 1.3034 1.3238 1.3358 
296.8 0.2240 0.0019 1.2049 1.2241 1.2436 1.2632 1.2831 1.3032 1.3236 1.3356 
297.3 0.2239 0.0018 1.2049 1.2240 1.2435 1.2631 1.2830 1.3031 1.3235 1.3355 
297.9 0.2238 0.0018 1.2048 1.2239 1.2433 1.2630 1.2828 1.3030 1.3233 1.3353 
298.5 0.2237 0.0018 1.2047 1.2239 1.2432 1.2629 1.2827 1.3028 1.3232 1.3352 
299.0 0.2236 0.0018 1.2046 1.2238 1.2431 1.2627 1.2826 1.3027 1.3230 1.3350 
299.6 0.2235 0.0018 1.2045 1.2237 1.2430 1.2626 1.2825 1.3026 1.3229 1.3349 
300.2 0.2234 0.0018 1.2044 1.2236 1.2429 1.2625 1.2823 1.3024 1.3228 1.3347 
300.7 0.2233 0.0018 1.2043 1.2235 1.2428 1.2624 1.2822 1.3023 1.3226 1.3346 
301.3 0.2232 0.0018 1.2043 1.2234 1.2427 1.2623 1.2821 1.3022 1.3225 1.3344 
301.8 0.2232 0.0018 1.2042 1.2233 1.2426 1.2622 1.2820 1.3020 1.3224 1.3343 
302.4 0.2231 0.0018 1.2041 1.2232 1.2425 1.2621 1.2819 1.3019 1.3222 1.3342 
303.0 0.2230 0.0017 1.2040 1.2231 1.2424 1.2620 1.2818 1.3018 1.3221 1.3340 
303.5 0.2229 0.0017 1.2039 1.2230 1.2423 1.2619 1.2816 1.3017 1.3219 1.3339 
304.1 0.2228 0.0017 1.2038 1.2229 1.2422 1.2618 1.2815 1.3015 1.3218 1.3337 
304.6 0.2227 0.0017 1.2038 1.2228 1.2421 1.2617 1.2814 1.3014 1.3217 1.3336 
305.2 0.2226 0.0017 1.2037 1.2228 1.2420 1.2616 1.2813 1.3013 1.3215 1.3335 
305.8 0.2226 0.0017 1.2036 1.2227 1.2419 1.2614 1.2812 1.3012 1.3214 1.3333 
306.3 0.2225 0.0017 1.2035 1.2226 1.2418 1.2613 1.2811 1.3011 1.3213 1.3332 
306.9 0.2224 0.0017 1.2034 1.2225 1.2418 1.2612 1.2810 1.3009 1.3212 1.3330 
307.5 0.2223 0.0017 1.2034 1.2224 1.2417 1.2611 1.2809 1.3008 1.3210 1.3329 
308.0 0.2222 0.0017 1.2033 1.2223 1.2416 1.2610 1.2807 1.3007 1.3209 1.3328 
308.6 0.2222 0.0016 1.2032 1.2222 1.2415 1.2609 1.2806 1.3006 1.3208 1.3327 
309.1 0.2221 0.0016 1.2031 1.2222 1.2414 1.2608 1.2805 1.3005 1.3206 1.3325 
309.7 0.2220 0.0016 1.2031 1.2221 1.2413 1.2607 1.2804 1.3003 1.3205 1.3324 
310.3 0.2219 0.0016 1.2030 1.2220 1.2412 1.2606 1.2803 1.3002 1.3204 1.3323 
